Thu Jul 03 15:08:16 2014    7buildSuperClassModule.stats

         2524799 function calls (2214996 primitive calls) in 4.284 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      990    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:140(<genexpr>)
      722    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      192    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\as_string.py:174(visit_const)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:100(parse)
      241    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\raw_building.py:210(__init__)
       60    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:115(parse)
      241    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:27(modules_transform)
      748    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:264(assign_assigned_stmts)
      827    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:196(feed)
      505    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:147(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method Parse}
      648    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:151(<genexpr>)
      192    0.000    0.000    0.000    0.000 {repr}
       60    0.000    0.000    0.000    0.000 {built-in method search}
        1    0.000    0.000    0.000    0.000 {open}
      289    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\as_string.py:323(visit_name)
      216    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:150(<genexpr>)
        8    0.000    0.000    0.000    0.000 ..\Modules\pyexpat.c:604(StartElement)
       60    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:402(__init__)
        8    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:300(start_element)
        8    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\parse.py:32(startElement)
        2    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        2    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:244(reset)
       92    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\__init__.py:71(make_parser)
        9    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\as_string.py:277(visit_getattr)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\__init__.py:104(_create_parser)
       60    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:318(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:404(create_parser)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:87(__init__)
        2    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\saxutils.py:276(prepare_input_source)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\as_string.py:305(visit_lambda)
       20    0.000    0.000    0.000    0.000 ..\Modules\pyexpat.c:479(CharacterData)
        8    0.000    0.000    0.000    0.000 ..\Modules\pyexpat.c:656(EndElement)
       11    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:327(get)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:213(close)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:111(__init__)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:109(prepareParser)
        2    0.000    0.000    0.000    0.000 {pyexpat.ParserCreate}
        8    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:303(end_element)
        1    0.000    0.000    0.000    0.000 {__import__}
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:24(__init__)
       10    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:321(has_key)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:54(__init__)
        2    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:223(_reset_cont_handler)
        8    0.000    0.000    0.000    0.000 {method 'lower' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:115(setContentHandler)
       20    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\handler.py:158(characters)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\as_string.py:88(visit_arguments)
        1    0.000    0.000    0.000    0.000 {_weakref.proxy}
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\as_string.py:309(visit_list)
        8    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:278(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method SetBase}
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:271(format_args)
        8    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\parse.py:48(endElement)
        2    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:203(__init__)
        2    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:222(getSystemId)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\handler.py:57(setDocumentLocator)
        1    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:132(setFeature)
        1    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\parse.py:25(__init__)
        3    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:253(getByteStream)
