Thu Jun 26 15:18:14 2014    buildRecordModule.stats

         6426330 function calls (5935708 primitive calls) in 20.287 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13426    0.011    0.000    0.011    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\raw_building.py:210(__init__)
    13016    0.010    0.000    0.010    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:171(__getitem__)
     8748    0.007    0.000    0.010    0.000 c:\Python26\lib\ast.py:151(iter_fields)
    30648    0.010    0.000    0.010    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:53(infer)
      271    0.001    0.000    0.010    0.000 c:\Python26\lib\xml\sax\__init__.py:71(make_parser)
      276    0.009    0.000    0.009    0.000 {sorted}
    15324    0.009    0.000    0.009    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:42(__init__)
      271    0.001    0.000    0.009    0.000 c:\Python26\lib\xml\sax\__init__.py:104(_create_parser)
     7755    0.005    0.000    0.009    0.000 c:\Python26\lib\xml\sax\xmlreader.py:327(get)
    30648    0.008    0.000    0.008    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:565(_infer_name)
    15324    0.008    0.000    0.008    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:453(__init__)
    13426    0.008    0.000    0.008    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:23(modules_transform)
     4053    0.002    0.000    0.007    0.000 ..\Modules\pyexpat.c:656(EndElement)
     1288    0.007    0.000    0.007    0.000 {method 'update' of 'dict' objects}
    16982    0.007    0.000    0.007    0.000 c:\Python26\lib\ntpath.py:122(splitdrive)
      110    0.007    0.000    0.007    0.000 {method 'splitlines' of 'str' objects}
      815    0.006    0.000    0.006    0.000 {method 'join' of 'str' objects}
     8545    0.005    0.000    0.006    0.000 ..\Modules\pyexpat.c:479(CharacterData)
      271    0.001    0.000    0.006    0.000 c:\Python26\lib\xml\sax\expatreader.py:404(create_parser)
      271    0.002    0.000    0.005    0.000 c:\Python26\lib\xml\sax\expatreader.py:87(__init__)
      542    0.003    0.000    0.005    0.000 c:\Python26\lib\xml\sax\saxutils.py:276(prepare_input_source)
      110    0.005    0.000    0.005    0.000 {method 'close' of 'file' objects}
     4053    0.004    0.000    0.005    0.000 c:\Python26\lib\xml\sax\expatreader.py:303(end_element)
    15324    0.005    0.000    0.005    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:582(has_base)
      704    0.003    0.000    0.004    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:163(getModName)
    15324    0.004    0.000    0.004    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:120(scope)
      217    0.002    0.000    0.004    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:52(visit_Call)
      271    0.003    0.000    0.004    0.000 c:\Python26\lib\xml\sax\expatreader.py:213(close)
    15324    0.004    0.000    0.004    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:62(ass_type)
    11661    0.003    0.000    0.003    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:155(<genexpr>)
      116    0.001    0.000    0.003    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:716(visit_return)
    25271    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     4595    0.003    0.000    0.003    0.000 c:\Python26\lib\xml\sax\xmlreader.py:321(has_key)
      722    0.003    0.000    0.003    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:120(findPaths)
      542    0.003    0.000    0.003    0.000 {pyexpat.ParserCreate}
      271    0.001    0.000    0.003    0.000 c:\Python26\lib\xml\sax\xmlreader.py:111(__init__)
    16982    0.003    0.000    0.003    0.000 {len}
      272    0.002    0.000    0.002    0.000 {__import__}
      410    0.002    0.000    0.002    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:761(__init__)
      271    0.001    0.000    0.002    0.000 c:\Python26\lib\xml\sax\expatreader.py:109(prepareParser)
     1414    0.001    0.000    0.002    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:42(visit_FunctionDef)
     4053    0.002    0.000    0.002    0.000 c:\Python26\lib\xml\sax\xmlreader.py:278(__init__)
      271    0.002    0.000    0.002    0.000 c:\Python26\lib\xml\sax\xmlreader.py:24(__init__)
     4889    0.002    0.000    0.002    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:148(<genexpr>)
     4053    0.002    0.000    0.002    0.000 {method 'lower' of 'unicode' objects}
      271    0.000    0.000    0.002    0.000 c:\Python26\lib\xml\sax\expatreader.py:54(__init__)
      110    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:18(__init__)
      271    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\parse.py:25(__init__)
     8545    0.001    0.000    0.001    0.000 c:\Python26\lib\xml\sax\handler.py:158(characters)
      410    0.001    0.000    0.001    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:787(set_line_info)
      542    0.001    0.000    0.001    0.000 c:\Python26\lib\xml\sax\expatreader.py:223(_reset_cont_handler)
      271    0.001    0.000    0.001    0.000 c:\Python26\lib\xml\sax\expatreader.py:115(setContentHandler)
      271    0.001    0.000    0.001    0.000 {_weakref.proxy}
        1    0.000    0.000    0.001    0.001 c:\Python26\lib\encodings\__init__.py:71(search_function)
      646    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:33(visit_Name)
      203    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:64(subnodeVisit)
      704    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
     4053    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\parse.py:48(endElement)
     1787    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     1990    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      542    0.001    0.000    0.001    0.000 c:\Python26\lib\xml\sax\xmlreader.py:203(__init__)
     1199    0.001    0.000    0.001    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:147(<genexpr>)
      271    0.001    0.000    0.001    0.000 {built-in method SetBase}
     1168    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:154(<genexpr>)
      542    0.000    0.000    0.000    0.000 {built-in method SetParamEntityParsing}
      271    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\expatreader.py:132(setFeature)
      271    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\handler.py:57(setDocumentLocator)
      813    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:253(getByteStream)
      271    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:38(setContentHandler)
      542    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:236(getEncoding)
      828    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:158(<genexpr>)
      542    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:222(getSystemId)
      271    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\handler.py:54(__init__)
      271    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:240(setByteStream)
      271    0.000    0.000    0.000    0.000 c:\Python26\lib\xml\sax\xmlreader.py:218(setSystemId)
      276    0.000    0.000    0.000    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:157(<genexpr>)
